Gender,Age,Height,Weight,Exercise_Type,RM
0,41,171,60,2,60
0,32,174,103,2,103
0,22,159,58,1,54
0,46,192,60,1,54
0,55,170,64,1,63
0,33,171,64,1,61
0,50,170,65,1,62
0,50,201,66,1,64
0,37,174,67,1,65
0,28,176,69,1,60
0,28,165,70,1,68
0,45,165,70,1,66
0,60,173,72,1,70
0,48,156,72,1,69
0,41,163,72,1,68
0,37,167,82,1,81
0,44,174,58,2,60
0,37,172,58,2,56
0,41,165,59,2,57
0,43,171,61,2,56
0,20,169,62,2,55
0,51,174,63,2,62
0,31,163,63,2,60
0,54,173,63,2,59
0,50,166,65,2,62
0,48,163,66,2,64
0,16,165,68,2,63
0,37,167,68,2,63
0,30,161,76,2,72
0,29,169,77,2,77
0,51,165,60,3,53
0,35,169,62,3,56
0,21,159,64,3,60
0,22,169,65,3,58
0,36,160,66,3,58
0,20,169,67,3,61
0,35,163,67,3,60
0,45,155,69,3,61
0,58,141,70,3,63
0,37,170,70,3,62
0,31,170,72,3,71
0,35,171,72,3,64
0,56,171,73,3,68
0,48,153,75,3,68
0,41,157,76,3,71
1,39,168,71,1,71
1,31,158,72,1,70
1,40,173,74,1,69
1,50,160,78,1,73
1,43,162,80,1,71
1,25,165,80,1,77
1,52,177,83,1,79
1,42,166,85,1,81
1,39,166,87,1,81
1,40,190,88,1,84
1,51,191,71,2,66
1,38,199,75,2,72
1,54,196,75,2,69
1,33,190,76,2,72
1,45,160,78,2,72
1,37,194,78,2,76
1,44,163,79,2,73
1,40,171,79,2,72
1,37,198,79,2,71
1,39,180,80,2,81
1,31,182,80,2,75
1,36,155,71,3,68
1,47,179,73,3,72
1,29,166,76,3,72
1,37,173,78,3,77
1,31,177,78,3,75
1,26,179,78,3,69
1,40,179,79,3,74
1,35,183,83,3,80
1,49,177,84,3,79
1,28,164,85,3,79
1,40,167,87,3,77
1,51,175,88,3,81
